
===== OGF Published Documents =====

OGF documents are developed according to an [[http://redmine.ogf.org/projects/editor/wiki/About_OGF_Documents|open public process as described at this link]].

<sortable>
^ GFD  ^ Type  ^ Area  ^ Group  ^ Publication ^ Title  ^ Authors ^
|<html><div class="hidden">168</div> <a href="http://www.ogf.org/documents/GFD.168.pdf">GFD.168</a></html>   |INFO              |e-Research            |RISGE-RG               |2010-04-19   |RISGE-RG Collection of Use Cases                     |M. Plociennik     |
|<html><div class="hidden">167</div> <a href="http://www.ogf.org/documents/GFD.167.pdf">GFD.167</a></html>   |EXP               |Compute               |GRAAP-WG               |2010-03-08   |WS-Agreement Specification Version 1.0 Experience Document   |D. BattrÃ©, P. Wieder, W. Ziegler     |
|<html><div class="hidden">166</div> <a href="http://www.ogf.org/documents/GFD.166.pdf">GFD.166</a></html>   |EXP               |Data                  |INFOD-WG               |2010-03-08   |INFOD 1.0 Implementation -- Experience Report       |R. Fehling, S. Fisher, D. Gawlick, R. Gunasekaran, M. Shankar, A. Yalamanchi     |
|<html><div class="hidden">165</div> <a href="http://www.ogf.org/documents/GFD.165.pdf">GFD.165</a></html>   |INFO              |Infrastructure        |NML-WG                 |2010-03-08   |Network Topology Descriptions in Hybrid Networks     |P. Grosso, A. Brown, A. Cedeyn, F. Dijkstra, J. van der Ham, A. Patil, P. Primet, M. Swany, J. Zurawski     |
|<html><div class="hidden">164</div> <a href="http://www.ogf.org/documents/GFD.164.pdf">GFD.164</a></html>   |INFO              |e-Research            |GIR-RG                 |2010-01-14   |A Framework of Online Community based Expertise Information Retrieval on Grid   |E. Huh, P. Lee, G. Newby     |
|<html><div class="hidden">163</div> <a href="http://www.ogf.org/documents/GFD.163.pdf">GFD.163</a></html>   |INFO              |Data                  |DAIS-WG                |2009-12-30   |WS-DAI RDF(S) Realization: Introduction, Motivational Use Cases and Terminologies   |M. Antonioletti, C. B. Aranda, O. Corcho, M. Esteban-Gutierrez, A. Gomez-Perez, I. Kojima, S. Lynden, S. Pahlevi     |
|<html><div class="hidden">162</div> <a href="http://www.ogf.org/documents/GFD.162.pdf">GFD.162</a></html>   |INFO              |Infrastructure        |OCCI-WG                |2010-01-14   |Open Cloud Computing Interface - Use cases and requirements for a Cloud %%API%%   |T. Metsch     |
|<html><div class="hidden">161</div> <a href="http://www.ogf.org/documents/GFD.161.pdf">GFD.161</a></html>   |INFO              |Data                  |GFS-WG                 |2009-12-30   |Multi-Server Based Namespace Data Management of Resource Namespace Service   |L. Guo, X. Wang, M. Xu, W. Zhou     |
|<html><div class="hidden">160</div> <a href="http://www.ogf.org/documents/GFD.160.pdf">GFD.160</a></html>   |EXP               |Data                  |DAIS-WG                |2009-11-30   |WS-DAI and WS-DAIR Implementations - Experimental Document   |S. Lynden, M. Antonioletti, M. Jackson, S. Ahn     |
|<html><div class="hidden">159</div> <a href="http://www.ogf.org/documents/GFD.159.pdf">GFD.159</a></html>   |P-REC             |Security              |OGSA-AuthZ-WG          |2009-11-13   |Use of XACML Request Context to Obtain an Authorisation Decision   |D. Chadwick, L. Su, R. Laborde     |
|<html><div class="hidden">158</div> <a href="http://www.ogf.org/documents/GFD.158.pdf">GFD.158</a></html>   |P-REC             |Security              |OGSA-AuthZ-WG          |2009-11-13   |Use of SAML to retrieve Authorization Credentials    |V. Venturi, T. Scavo, D. Chadwick     |
|<html><div class="hidden">157</div> <a href="http://www.ogf.org/documents/GFD.157.pdf">GFD.157</a></html>   |P-REC             |Security              |OGSA-AuthZ-WG          |2009-11-13   |Use of WS-TRUST and SAML to access a Credential Validation Service   |D. Chadwick, L. Su     |
|<html><div class="hidden">156</div> <a href="http://www.ogf.org/documents/GFD.156.pdf">GFD.156</a></html>   |INFO              |Security              |OGSA-AuthZ-WG          |2009-10-29   |Functional Components of Grid Service Provider Authorisation Service Middleware   |D. Chadwick     |
|<html><div class="hidden">155</div> <a href="http://www.ogf.org/documents/GFD.155.pdf">GFD.155</a></html>   |INFO              |                      |ET-CG                  |2009-10-12   |Towards Professional Grid Certification              |R. Berlich, K. Schwarz, K. Cassidy     |
|<html><div class="hidden">154</div> <a href="http://www.ogf.org/documents/GFD.154.pdf">GFD.154</a></html>   |EXP               |Data                  |GSM-WG                 |2009-08-18   |Storage Resource Manager Interface Specification V2.2 Implementations  Experience Report   |A. Sim, A. Shoshani, F. Donno, J. Jensen     |
|<html><div class="hidden">153</div> <a href="http://www.ogf.org/documents/GFD.153.pdf">GFD.153</a></html>   |INFO              |                      |ET-CG                  |2009-06-24   |Policy for Supporting Grid and e-Science Education and Training   |M. Atkinson, E. Vander Meer     |
|<html><div class="hidden">152</div> <a href="http://www.ogf.org/documents/GFD.152.pdf">GFD.152</a></html>   |CP                |                      |GFSG                   |2009-06-24   |Open Grid Forum Document Process and Requirements    |C. Catlett, C. de Laat, D. Martin, G. Newby, D. Skow     |
|<html><div class="hidden">151</div> <a href="http://www.ogf.org/documents/GFD.151.pdf">GFD.151</a></html>   |P-REC             |Compute               |HPCP-WG                |2009-06-24   |HPCBP Advanced Filter Extension                      |S. Newhouse, M. Krishna K.     |
|<html><div class="hidden">150</div> <a href="http://www.ogf.org/documents/GFD.150.pdf">GFD.150</a></html>   |INFO              |                      |-                      |2009-05-12   |Using Clouds to Provide Grids Higher-Levels of Abstraction and Explicit Support for Usage Modes   |S. Jha, A. Merzky, G. Fox     |
|<html><div class="hidden">149</div> <a href="http://www.ogf.org/documents/GFD.149.pdf">GFD.149</a></html>   |P-REC             |Compute               |JSDL-WG                |2009-05-12   |JSDL Parameter Sweep Job Extension                   |M. Drescher, A. Anjomshoaa, G. Williams, D. Meredith     |
|<html><div class="hidden">148</div> <a href="http://www.ogf.org/documents/GFD.148.pdf">GFD.148</a></html>   |EXP               |Architecture          |OGSA-WG                |2009-03-25   |Interoperability Experiences with the OGSA WSRF Basic Profile 1.0   |V. Li     |
|<html><div class="hidden">147</div> <a href="http://www.ogf.org/documents/GFD.147.pdf">GFD.147</a></html>   |P-REC             |Management            |GLUE                   |2009-03-03   |GLUE Specification v. 2.0                            |S. Andreozzi, S. Burke, L. Field, G. Galang, B. Konya, M. Litmaath, P. Millar, J. P. Navarro     |
|<html><div class="hidden">146</div> <a href="http://www.ogf.org/documents/GFD.146.pdf">GFD.146</a></html>   |EXP               |Data                  |OGSA-ByteIO            |2009-03-03   |OGSA ByteIO Implementations -- Experiences Document   |N. Chue Hong, M. Drescher, A. Krause, M. S. Memon, M. Morgan     |
|<html><div class="hidden">145</div> <a href="http://www.ogf.org/documents/GFD.145.pdf">GFD.145</a></html>   |INFO              |                      |EGR-RG                 |2009-02-14   |Guidelines of Requirements for Grid Systems v1.0     |R. Subramaniam, T. Nakata, S. Itoh, Y. Oyanagi, A. Takefusa, T. AnzakI, K. Mizoguchi, H. Tazaki, T. Mori, T. Suzuki, M. Hamada, T. Maeshiro, H. Takashima, M. Yoshioka     |
|<html><div class="hidden">144</div> <a href="http://www.ogf.org/documents/GFD.144.pdf">GFD.144</a></html>   |P-REC             |Applications          |SAGA-WG                |2009-02-14   |SAGA %%API%% Extension: Service Discovery %%API%%            |S. Fisher, A. Wilson, A. Paventhan     |
|<html><div class="hidden">143</div> <a href="http://www.ogf.org/documents/GFD.143.pdf">GFD.143</a></html>   |INFO              |Applications          |DRMAA-WG               |2009-01-10   |Distributed Resource Management Application %%API%% 1.0 â€“ Python Language Binding   |P. TrÃ¶ger, M. LÃ¶wis, E. Sirola     |
|<html><div class="hidden">142</div> <a href="http://www.ogf.org/documents/GFD.142.pdf">GFD.142</a></html>   |INFO              |Security              |FI-RG                  |2008-10-30   |Requirements on operating Grids in Firewalled Environments   |T. Metsch, L. Gommans, E. Gr"unter, R. Niederberger, A. de Smet, G. L. Volpato     |
